status,file,source_or_variants
filled,99_Operations 3/Visionary_Intelligence/CHANGELOG.md,Product/Change_Logs/CHANGELOG.md
filled,Implementation/MicroHydroV1_MasterIntegrator_Toolkit (1).zip,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_MasterIntegrator_Toolkit (1).zip
filled,Implementation/MicroHydroV1_Integrated_Organized_Tree.zip,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_Integrated_Organized_Tree.zip
filled,Implementation/MicroHydroV1_InitGui_PATCH.zip,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_InitGui_PATCH.zip
filled,Implementation/MicroHydroV1_Shapr3D_ReferenceModel.zip,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_Shapr3D_ReferenceModel.zip
filled,Implementation/MicroHydroV1_Shapr3D_Import.zip,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_Shapr3D_Import.zip
filled,Implementation/MicroHydroV1_GoNoGo_ASAP_Draft (1).docx,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_GoNoGo_ASAP_Draft (1).docx
filled,Implementation/Install_MicroHydroV1.sh,Archive/Legacy/MICRO HYDRO NEW/Install_MicroHydroV1.sh
filled,Implementation/MicroHydroV1_Bench_Tech_Checklist.pdf,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_Bench_Tech_Checklist.pdf
filled,Implementation/Microsoft Copilot Chat Files.zip,Archive/Legacy/MICRO HYDRO NEW/Microsoft Copilot Chat Files.zip
filled,Implementation/mhv1_pipeline.py,Archive/Legacy/MICRO HYDRO NEW/mhv1_pipeline.py
filled,Implementation/MicroHydroV1_ASAP_Timeline (1).xlsx,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_ASAP_Timeline (1).xlsx
filled,Implementation/MicroHydroV1 — SoT.zip,IT/System_of_Truth/MicroHydroV1 — SoT.zip
filled,Implementation/MicroHydroV1_MasterIntegrated_Output.zip,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_MasterIntegrated_Output.zip
filled,Implementation/MicroHydroV1_repo_skeleton.zip,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_repo_skeleton.zip
