V_air_L,G_del,eta,Q_drive_Ls,q_deliv_Ls,freq_hz,ripple_pct,T001_jet_cov,T002_psd_peakiness,recoil_mismatch
15.0,0.004,0.66672,15.78187,1.75369,0.96667,21.85672,1.3402,41.12837,0.27101
15.0,0.008,0.68161,15.39235,1.7486,0.93333,16.0747,1.90929,34.72065,0.19377
15.0,0.016,0.70256,14.90634,1.74544,0.9,11.60744,2.37491,29.44682,0.11785
15.0,0.032,0.74611,9.814,1.22039,0.6,7.35753,3.30402,19.9861,0.04681
30.0,0.004,0.71234,15.21712,1.80662,0.93333,13.0352,0.82041,40.50101,0.15827
30.0,0.008,0.70722,15.04845,1.77376,0.9,11.26873,1.35067,38.29633,0.12604
30.0,0.016,0.73835,14.77352,1.81801,0.9,8.32148,1.88644,33.60551,0.07654
30.0,0.032,0.7305,10.11254,1.2312,0.6,5.78851,2.92957,25.32342,0.04431
60.0,0.004,0.72703,14.89985,1.80543,0.9,6.99199,0.44921,41.38062,0.07753
60.0,0.008,0.74735,14.68108,1.82866,0.9,6.6619,0.82774,39.9642,0.03438
60.0,0.016,0.7392,10.6307,1.3097,0.63333,5.77584,1.70914,36.42362,0.04601
60.0,0.032,0.75728,10.4252,1.31581,0.63333,4.24105,2.30787,31.20893,0.04021
120.0,0.004,0.73377,14.73355,1.80183,0.9,3.68279,0.2333,41.71316,0.07073
120.0,0.008,0.74415,10.42671,1.29318,0.63333,4.28716,0.65701,40.14498,0.04212
120.0,0.016,0.75229,9.54422,1.19667,0.56667,3.48392,1.20179,38.08721,0.04026
120.0,0.032,0.74048,9.71467,1.19891,0.56667,2.90679,1.82368,35.84739,0.03726
