label,LD,L,D,F,a,n_nodes,dt_ms,Q_drive_Ls,q_deliv_Ls,h_delivery,r,eta,freq_hz,ripple_pct,T002_psd_peakiness,T001_jet_cov
B300,50,15.0,0.3,1.5,1173.47739,16,0.79891,2.36705,0.08181,9.0,6.0,0.20738,0.0,0.04416,3501.63422,0.06946
B300,100,30.0,0.3,1.5,1173.47739,16,1.59782,19.1262,1.9583,9.0,6.0,0.61433,0.7,8.9851,103437.26302,1.01322
B300,150,45.0,0.3,1.5,1173.47739,22,1.74307,17.89962,1.9043,9.0,6.0,0.63833,0.5,11.43515,291691.92383,1.32843
B300,250,75.0,0.3,1.5,1173.47739,38,1.68191,16.53047,1.83784,9.0,6.0,0.66707,0.3,15.59646,721667.49318,1.7233
B300,350,105.0,0.3,1.5,1173.47739,52,1.72072,17.38601,1.64325,9.0,6.0,0.56709,0.2,18.12669,692976.32469,2.10226
B300,500,150.0,0.3,1.5,1173.47739,75,1.70434,16.65344,1.84512,9.0,6.0,0.66477,0.16667,19.97893,748220.30799,2.17627
B300,750,225.0,0.3,1.5,1173.47739,112,1.71194,16.63965,1.57263,9.0,6.0,0.56707,0.1,24.68449,528715.67211,2.63403
B300,1000,300.0,0.3,1.5,1173.47739,150,1.70434,17.77072,1.34304,9.0,6.0,0.45346,0.06667,27.58704,517976.74494,3.02615
B100,50,5.0,0.1,1.5,1336.87473,16,0.23375,0.04637,0.0,9.0,6.0,0.0,0.0,0.0,1786.04213,0.0
B100,100,10.0,0.1,1.5,1336.87473,16,0.46751,0.12764,0.0,9.0,6.0,0.0,0.0,0.0,1758.7492,0.0
B100,150,15.0,0.1,1.5,1336.87473,16,0.70126,0.21633,0.00455,9.0,6.0,0.12606,0.0,0.0018,4173.58786,0.05188
B100,250,25.0,0.1,1.5,1336.87473,16,1.16877,2.0688,0.21947,9.0,6.0,0.63651,0.8,0.90732,247401.78578,0.91565
B100,350,35.0,0.1,1.5,1336.87473,18,1.45447,1.5843,0.17374,9.0,6.0,0.65798,0.46667,1.14659,51574.32417,1.35954
B100,500,50.0,0.1,1.5,1336.87473,25,1.49603,1.56393,0.17,9.0,6.0,0.65221,0.33333,1.41279,166505.37675,1.65633
B100,750,75.0,0.1,1.5,1336.87473,38,1.47634,1.94042,0.22031,9.0,6.0,0.68122,0.3,1.71548,1502684.7904,1.66077
B100,1000,100.0,0.1,1.5,1336.87473,50,1.49603,1.96548,0.21929,9.0,6.0,0.66942,0.23333,2.00416,529699.01857,1.86517
