LD,weight_factor,stroke_mm,eta,Q_drive_Ls,q_deliv_Ls,freq_hz,recoil_mismatch,n_reopens,T002_psd_peakiness,T001_jet_cov,ripple_pct
100,0.35,8.0,0.79677,8.24182,1.09447,0.66667,0.24912,147,6330.04393,0.86145,4.9822
100,0.5,8.0,0.76716,13.82171,1.76725,1.03333,0.21422,31,125939.97924,0.71995,5.72711
100,0.65,8.0,0.74735,14.68108,1.82866,0.9,0.03438,219,382116.76501,0.82774,6.6619
100,0.8,8.0,0.70144,15.82453,1.84998,0.8,0.07449,33,293649.54405,0.92835,7.52608
100,1.0,8.0,0.65254,18.2443,1.98418,0.7,0.19402,22,246762.70497,0.98002,8.76208
100,1.25,8.0,0.57438,21.17946,2.0275,0.66667,0.19901,19,29061.94027,1.09467,10.17783
100,1.5,8.0,0.50631,22.99609,1.94054,0.53333,0.09446,16,470859.89843,1.25498,11.50909
100,0.35,15.0,0.20927,2.23711,0.07803,0.0,1.67638,252,10512.46797,0.09989,0.04972
100,0.5,15.0,0.75449,14.18679,1.78396,0.93333,0.1307,29,59892.23869,0.76681,6.10823
100,0.65,15.0,0.69453,9.40873,1.08911,0.5,0.04465,1817,62685.14077,1.34291,7.12476
100,0.8,15.0,0.68271,16.46133,1.87305,0.73333,0.09996,23,107701.21761,0.94534,7.87084
100,1.0,15.0,0.61433,19.1262,1.9583,0.7,0.21159,21,103437.26302,1.01322,8.9851
100,1.25,15.0,0.57616,21.26114,2.04164,0.63333,0.19443,19,523442.70048,1.1055,10.36572
100,1.5,15.0,0.50829,23.07205,1.95457,0.5,0.08471,16,26286.9028,1.26562,11.66714
100,0.35,25.0,0.05197,2.02135,0.01751,0.0,2.01577,271,7034.20016,0.13167,0.02223
100,0.5,25.0,0.1957,2.23214,0.0728,0.0,1.64251,250,18268.49233,0.10074,0.05129
100,0.65,25.0,0.37781,2.6324,0.16576,0.0,1.4846,219,13893.1056,0.10392,0.10268
100,0.8,25.0,0.64776,17.34346,1.87241,0.73333,0.11291,22,374391.83719,0.97309,8.15683
100,1.0,25.0,0.614,19.53051,1.99863,0.66667,0.2135,21,443581.52189,1.02,9.2307
100,1.25,25.0,0.55481,21.67453,2.00422,0.6,0.1597,18,172026.20303,1.14028,10.59227
100,1.5,25.0,0.47996,23.74035,1.89906,0.53333,0.07151,15,20225.26943,1.31017,11.77727
